reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1232,Sarue Prefectural Park,35.6901,139.818,PM95vq,JP-TK,134,126,3049,0,0
JP-1233,Shioiri Prefectural Park,35.7363,139.81,PM95vr,JP-TK,183,165,3045,0,0
JP-1234,Shiokaze Prefectural Park,35.6238,139.769,PM95vo,JP-TK,145,137,2812,0,0
JP-1235,Shinozaki Prefectural Park,35.7156,139.898,PM95wr,JP-TK,81,72,1421,0,0
JP-1236,Shiba Prefectural Park,35.6549,139.748,PM95up,JP-TK,175,158,3150,0,1
JP-1237,Shakujii Prefectural Park,35.7383,139.599,PM95tr,JP-TK,101,88,2204,0,1
JP-1238,Johoku-Chuo Prefectural Park,35.7566,139.673,PM95us,JP-TK,374,344,8216,0,0
JP-1239,Zenpukujigawa Prefectural Park,35.6906,139.632,PM95tq,JP-TK,78,60,1090,0,0
JP-1240,Zenpukuji Prefectural Park,35.7146,139.591,PM95tr,JP-TK,48,44,683,0,0
JP-1241,Soshigaya Prefectural Park,35.6546,139.599,PM95tp,JP-TK,42,40,928,0,0
JP-1242,Daiba Prefectural Park,35.6336,139.772,PM95vp,JP-TK,70,68,1389,0,0
JP-1243,The Tokyo Rinkai Disaster Prevention Prefectural Park,35.6346,139.797,PM95vp,JP-TK,92,87,1304,0,0
JP-1244,Toneri Prefectural Park,35.797,139.772,PM95vt,JP-TK,381,370,13997,0,0
JP-1245,Toyama Prefectural Park,35.7055,139.704,PM95uq,JP-TK,327,270,7308,0,0
JP-1246,Nakagawa Prefectural Park,35.7753,139.846,PM95ws,JP-TK,130,128,2653,0,0
JP-1247,Higashi Ayase Prefectural Park,35.771,139.831,PM95vs,JP-TK,125,122,2260,0,0
JP-1248,Higashi Shirahige Prefectural Park,35.7336,139.814,PM95vr,JP-TK,78,73,1555,0,0
JP-1249,Hikarigaoka Prefectural Park,35.7666,139.629,PM95ts,JP-TK,475,450,8477,0,1
JP-1250,Hibiya Prefectural Park,35.6731,139.756,PM95vq,JP-TK,431,381,10216,0,1
JP-1251,Mizumoto Prefectural Park,35.7869,139.87,PM95ws,JP-TK,306,301,6940,0,0
JP-1252,Meiji Prefectural Park,35.6791,139.712,PM95uq,JP-TK,129,116,1988,0,0
JP-1253,Yumenoshima Prefectural Park,35.6511,139.827,PM95vp,JP-TK,201,184,3874,0,0
JP-1254,Yokoamicho Prefectural Park,35.6992,139.796,PM95vq,JP-TK,125,118,2286,0,0
JP-1255,Yoyogi Prefectural Park,35.6716,139.696,PM95uq,JP-TK,295,234,5543,0,0
JP-1256,Rinshinomori Prefectural Park,35.6249,139.703,PM95uo,JP-TK,186,167,4712,0,0
JP-1257,Roka Koshunen Prefectural Park,35.6617,139.613,PM95tp,JP-TK,68,65,1541,0,1
JP-1258,Wadabori Prefectural Park,35.6845,139.641,PM95tq,JP-TK,193,179,3718,0,0
JP-1259,Akirudai Prefectural Park,35.7303,139.3,PM95pr,JP-TK,99,94,2248,0,0
JP-1260,Inokashira Prefectural Park,35.7,139.576,PM95sq,JP-TK,76,65,1482,0,0
JP-1261,Oto Prefectural Park,35.6152,139.285,PM95po,JP-TK,113,108,2053,0,0
JP-1262,Oyamadairi Prefectural Park,35.6062,139.368,PM95qo,JP-TK,119,109,2527,0,0
JP-1263,Oyamada Prefectural Park,35.5976,139.417,PM95ro,JP-TK,129,110,3395,0,0
JP-1264,Koganei Prefectural Park,35.7164,139.518,PM95sr,JP-TK,380,326,6627,0,0
JP-1265,Komiya Prefectural Park,35.6731,139.34,PM95qq,JP-TK,119,114,2751,0,0
JP-1266,Sakuragaoka Prefectural Park,35.639,139.461,PM95rp,JP-TK,257,244,9185,0,0
JP-1267,Sayama Prefectural Park,35.7618,139.442,PM95rs,JP-TK,217,198,6173,0,0
JP-1268,Sayama Sakai Ryokudo Prefectural Park,35.7555,139.444,PM95rs,JP-TK,92,77,1651,0,0
JP-1269,Sengenyama Prefectural Park,35.68,139.5,PM95sq,JP-TK,127,117,2556,0,1
JP-1270,Takiyama Prefectural Park,35.7016,139.328,PM95pq,JP-TK,107,100,2539,0,0
JP-1271,Tamagawa Jyosui Ryokudo Prefectural Park,35.7218,139.358,PM95qr,JP-TK,113,104,2835,0,0
JP-1272,Naganuma Prefectural Park,35.6382,139.368,PM95qp,JP-TK,138,130,4174,0,2
JP-1273,Nogawa Prefectural Park,35.6832,139.525,PM95sq,JP-TK,94,85,1665,0,0
