reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1622,Hiroshima Ryokka Shokubutsu Prefectural Park,34.4355,132.566,PM64gk,JP-HS,19,19,589,0,0
JP-1623,Sera Kenmin Prefectural Park,34.6245,132.981,PM64lo,JP-HS,13,12,390,0,0
JP-1624,Miyoshi Prefectural Park,34.7982,132.905,PM64kt,JP-HS,20,19,560,0,0
JP-1625,Bingo Sports Prefectural Park,34.435,133.177,PM64ok,JP-HS,52,45,1651,0,0
JP-1626,Chomonkyo Prefectural Nature Park,34.3177,131.569,PM54sh,JP-YC,14,14,891,0,0
JP-1627,Rakanzan Prefectural Nature Park,34.3504,132.052,PM64ai,JP-YC,20,19,717,0,0
JP-1628,Iwakisan Prefectural Nature Park,33.9872,132.038,PM63ax,JP-YC,13,12,548,0,0
JP-1629,Toyota Prefectural Nature Park,34.1767,131.044,PM54me,JP-YC,10,9,431,0,0
JP-1630,Ishin Hyakunen Prefectural Park,34.1562,131.437,PM54rd,JP-YC,10,10,222,0,0
JP-1631,Yamaguchi Kirara Expo Memorial Prefectural Park,34.005,131.372,PM54qa,JP-YC,10,9,213,0,0
JP-1632,Katazoegahama Kaihin Prefectural Park,33.8975,132.362,PM63ev,JP-YC,11,10,384,0,0
JP-1633,Hagi Wellness Prefectural Park,34.3862,131.422,PM54rj,JP-YC,9,9,364,0,0
JP-1634,Kameyama Prefectural Park,34.1808,131.474,PM54re,JP-YC,11,10,252,0,0
JP-1635,Hashikura Prefectural Nature Park,34.049,133.842,PM64wb,JP-TS,8,8,618,0,0
JP-1636,Dochu Kotsu Prefectural Nature Park,34.092,134.206,PM74cc,JP-TS,9,9,360,0,0
JP-1637,Oasayama Prefectural Nature Park,34.1861,134.5,PM74ge,JP-TS,17,17,672,0,0
JP-1638,Okuimiyagawauchidani Prefectural Nature Park,34.1479,134.354,PM74ed,JP-TS,17,16,646,0,0
JP-1639,Higashisankei Prefectural Nature Park,33.9627,134.511,PM73gx,JP-TS,62,57,4623,0,0
JP-1640,Chubusankei Prefectural Nature Park,33.9042,134.342,PM73ev,JP-TS,11,10,474,0,0
JP-1642,Bunkanomori Prefectural Park,34.0397,134.527,PM74ga,JP-TS,17,17,396,0,0
JP-1643,Kamiyama Shinrin Prefectural Park,34.0225,134.423,PM74fa,JP-TS,24,22,1419,0,0
JP-1644,Tsukimigaoka Kaihin Prefectural Park,34.1259,134.61,PM74hd,JP-TS,25,23,593,0,0
JP-1645,Naruto Sogo Undo Prefectural Park,34.1678,134.617,PM74he,JP-TS,17,17,363,0,0
JP-1646,Nanbu Kenko Undo Prefectural Park,33.8654,134.603,PM73hu,JP-TS,12,11,342,0,0
JP-1647,Otaki Daisen Prefectural Nature Park,34.1219,134.106,PM74bc,JP-KG,16,15,408,0,0
JP-1648,Mannoike Prefectural Park,34.1565,133.866,PM64wd,JP-KG,23,17,403,0,0
JP-1649,Kinbuchi Forest Prefectural Park,34.2406,134.108,PM74bf,JP-KG,58,17,416,0,0
JP-1650,Kikaku Prefectural Park,34.2527,134.183,PM74cg,JP-KG,17,16,387,0,0
JP-1651,Toryo Prefectural Park,34.2697,133.748,PM64ug,JP-KG,64,37,1081,0,1
JP-1652,Kagawa Sports Prefectural Park,34.3651,133.96,PM64xi,JP-KG,20,17,427,0,0
JP-1653,Kinrin Prefectural Park,34.2864,134.255,PM74dg,JP-KG,18,17,461,0,0
JP-1654,Kinshako Prefectural Nature Park,33.9342,133.53,PM63sw,JP-EH,33,25,862,0,0
JP-1655,Okudogo Tamagawa Prefectural Nature Park,33.9333,132.923,PM63lw,JP-EH,15,13,588,0,0
JP-1656,Saragamine Renpo Prefectural Nature Park,33.7171,132.895,PM63kr,JP-EH,27,27,948,0,0
JP-1657,Shikoku Karst Prefectural Nature Park,33.4676,132.956,PM63ll,JP-EH,12,12,551,0,0
JP-1658,Hijikawa Prefectural Nature Park,33.453,132.686,PM63ik,JP-EH,10,10,551,0,0
JP-1659,Sadamisakihanto Uwakai Prefectural Nature Park,33.3891,132.084,PM63bj,JP-EH,13,11,562,0,0
JP-1660,Sasayama Prefectural Nature Park,33.0556,132.658,PM63hb,JP-EH,12,11,593,0,0
JP-1661,Dogo Prefectural Park,33.8482,132.787,PM63ju,JP-EH,15,14,383,0,0
JP-1662,Ehime Prefectural Sports Complex Prefectural Park,33.7674,132.797,PM63js,JP-EH,16,15,361,0,0
JP-1663,Nanyo Recreation Toshi Prefectural Park,32.9647,132.553,PM62gx,JP-EH,11,11,480,0,0
JP-1664,Teisumiyoshi Provincial Park,33.5207,133.755,PM63vm,JP-KC,14,12,421,0,0
JP-1665,Okumonobe Prefectural Nature Park,33.7635,134.031,PM73as,JP-KC,6,6,118,0,0
JP-1666,Shiragayama Prefectural Nature Park,33.8066,133.698,PM63ut,JP-KC,6,6,206,0,0
JP-1667,Yokogurayama Prefectural Nature Park,33.5348,133.203,PM63om,JP-KC,6,6,328,0,0
JP-1668,Yokonami Prefectural Nature Park,33.4122,133.428,PM63rj,JP-KC,8,8,339,0,0
JP-1669,Irino Prefectural Nature Park,33.0201,133.014,PM63ma,JP-KC,11,10,548,0,0
JP-1670,Sukumo Prefectural Nature Park,32.9181,132.688,PM62iw,JP-KC,13,13,561,0,0
JP-1671,Ryugado Prefectural Nature Park,33.6034,133.745,PM63uo,JP-KC,11,11,363,0,0
JP-1672,Nakatsu Keikoku Prefectural Nature Park,33.5645,133.11,PM63nn,JP-KC,12,11,425,0,0
JP-1673,Susakiwan Prefectural Nature Park,33.367,133.259,PM63pi,JP-KC,30,25,2297,0,0
JP-1674,Okitsu Prefectural Nature Park,33.1548,133.223,PM63od,JP-KC,6,6,366,0,0
JP-1675,Yasui Keikoku Prefectural Nature Park,33.6689,133.191,PM63oq,JP-KC,6,6,275,0,0
JP-1676,Shikoku Karst Prefectural Nature Park,33.4657,132.956,PM63ll,JP-KC,12,10,361,0,0
JP-1677,Kitayama Prefectural Nature Park,33.6007,133.486,PM63ro,JP-KC,16,13,749,0,0
JP-1678,Yanase Prefectural Nature Park,33.6137,134.098,PM73bo,JP-KC,9,8,461,0,0
JP-1679,Kajigamori Prefectural Nature Park,33.7584,133.757,PM63vs,JP-KC,21,20,929,0,0
JP-1680,Washioyama Prefectural Nature Park,33.5291,133.513,PM63sm,JP-KC,26,18,395,0,0
JP-1681,Kuishiyama Jingamori Prefectural Nature Park,33.6867,133.441,PM63rq,JP-KC,8,8,214,0,0
JP-1682,Muroto Koiki Prefectural Park,33.2891,134.172,PM73cg,JP-KC,10,9,350,0,0
JP-1683,Haruno Athletic Recreation Prefectural Park,33.5103,133.502,PM63sm,JP-KC,9,9,158,0,0
JP-1684,Tosa Seinan Daikibo Prefectural Park,33.0242,133.016,PM63ma,JP-KC,9,8,347,0,0
JP-1685,Aki Koiki Prefectural Park,33.5228,133.913,PM63wm,JP-KC,6,6,171,0,0
JP-1686,Noichi Zoological Park of Kochi Prefecture Prefectural Park,33.5704,133.706,PM63un,JP-KC,7,7,142,0,0
JP-1687,Kochi Prefectural Park,33.5612,133.531,PM63sn,JP-KC,9,9,151,0,0
JP-1688,Godaisan Prefectural Park,33.5472,133.574,PM63sn,JP-KC,9,9,177,0,0
JP-1689,Tanezaki Sensho Prefectural Park,33.5036,133.57,PM63sm,JP-KC,8,8,180,0,0
JP-1690,Kagamino Prefectural Park,33.6189,133.719,PM63uo,JP-KC,8,7,220,0,0
JP-1691,Kagamikawa Ryokuchi Prefectural Park,33.5544,133.518,PM63sn,JP-KC,5,5,93,0,0
JP-1692,Kochi Kuko Midori no Hiroba Prefectural Park,33.537,133.681,PM63um,JP-KC,10,10,223,0,0
JP-1693,Ike Prefectural Park,33.5246,133.589,PM63tm,JP-KC,9,8,166,0,0
JP-1694,Dazaifu Prefectural Nature Park,33.5526,130.599,PM53hn,JP-FO,26,26,934,0,0
JP-1695,Chikuho Prefectural Nature Park,33.704,130.911,PM53kq,JP-FO,27,26,1263,0,0
JP-1696,Chikugogawa Prefectural Nature Park,33.3,130.7,PM53ih,JP-FO,10,9,441,0,0
JP-1697,Yabegawa Prefectural Nature Park,33.1757,130.77,PM53je,JP-FO,6,6,598,0,0
JP-1698,Sefuriraizan Prefectural Nature Park,33.4344,130.389,PM53ek,JP-FO,68,63,1698,0,0
JP-1699,Higashi Prefectural Park,33.6058,130.42,PM53fo,JP-FO,13,10,198,0,0
JP-1700,Najima Undo Prefectural Park,33.6446,130.425,PM53fp,JP-FO,11,11,355,0,0
JP-1701,Nishi Prefectural Park,33.5981,130.375,PM53eo,JP-FO,26,23,661,0,0
JP-1702,Ohori Prefectural Park,33.5861,130.376,PM53eo,JP-FO,19,16,451,0,0
JP-1703,Tenjin Chuo Prefectural Park,33.5903,130.403,PM53eo,JP-FO,10,9,297,0,0
JP-1704,Central Prefectural Park,33.8762,130.839,PM53kv,JP-FO,17,17,763,0,0
JP-1705,Kasuga Prefectural Park,33.527,130.47,PM53fm,JP-FO,25,24,601,0,0
JP-1706,Chikuho Ryokuchi Prefectural Park,33.6581,130.748,PM53ip,JP-FO,8,8,387,0,0
JP-1707,Chikugo Regional Prefectural Park,33.1777,130.493,PM53fe,JP-FO,14,11,1010,0,0
JP-1708,Kurokamiyama Prefectural Nature Park,33.2222,129.909,PM43wf,JP-SG,6,6,356,0,0
JP-1709,Taradake Prefectural Nature Park,32.977,130.09,PM52bx,JP-SG,6,6,213,0,0
JP-1710,Tenzan Prefectural Nature Park,33.346,130.135,PM53bi,JP-SG,10,10,458,0,0
JP-1711,Hachimandake Prefectural Nature Park,33.2823,130.027,PM53ag,JP-SG,6,6,334,0,0
JP-1712,Sefuri Hokusan Prefectural Nature Park,33.4321,130.251,PM53dk,JP-SG,14,12,564,0,0
JP-1713,Kawakami Kinryu Prefectural Nature Park,33.3498,130.299,PM53di,JP-SG,13,12,425,0,0
JP-1714,Yoshinogari Historical Prefectural Park,33.3242,130.384,PM53eh,JP-SG,17,17,520,0,0
JP-1715,Sagajo Prefectural Park,33.245,130.303,PM53df,JP-SG,8,7,203,0,0
JP-1716,Shinrin Prefectural Park,33.2402,130.249,PM53cf,JP-SG,7,6,372,0,0
JP-1717,Taradake Prefectural Nature Park,32.9481,130.088,PM52bw,JP-NS,18,17,887,0,0
JP-1718,Nomo Hanto Prefectural Nature Park,32.5589,129.78,PM42vn,JP-NS,22,14,409,0,0
JP-1719,Hokusho Prefectural Park,33.3067,129.664,PM43th,JP-NS,8,7,380,0,0
JP-1720,Omurawan Prefectural Park,33.0498,129.832,PM43vb,JP-NS,25,16,571,0,0
JP-1721,Nishisonogi Hanto Prefectural Nature Park,32.8099,129.737,PM42ut,JP-NS,10,8,330,0,0
JP-1722,Shimabara Hanto Prefectural Nature Park,32.6853,130.131,PM52bq,JP-NS,10,9,201,0,0
JP-1723,Hirado Prefectural Park,33.3581,129.568,PM43si,JP-NS,7,7,194,0,0
JP-1724,Tabira Prefectural Park,33.3544,129.576,PM43si,JP-NS,6,6,262,0,0
JP-1725,Saikaibashi Prefectural Park,33.0512,129.758,PM43vb,JP-NS,12,11,430,0,0
JP-1726,Nagasaki Sogo Undo Prefectural Park,32.8366,130.04,PM52au,JP-NS,9,8,217,0,0
JP-1727,Hyakkadai Prefectural Park,32.8155,130.296,PM52dt,JP-NS,11,10,310,0,0
JP-1728,Kinpozan Prefectural Nature Park,32.8167,130.643,PM52ht,JP-KM,21,18,800,0,0
JP-1729,Shotaizan Prefectural Nature Park,32.9788,130.514,PM52gx,JP-KM,9,9,468,0,0
JP-1730,Misumi Oyano Kaihen Prefectural Nature Park,32.607,130.47,PM52fo,JP-KM,18,18,535,0,0
JP-1731,Ashikita Kaigan Prefectural Nature Park,32.294,130.465,PM52fh,JP-KM,15,14,725,0,0
JP-1732,Yabe Shuhen Prefectural Nature Park,32.6818,130.994,PM52lq,JP-KM,18,17,1441,0,0
JP-1733,Itsuki Gokanosho Prefectural Nature Park,32.5386,130.939,PM52lm,JP-KM,23,21,1048,0,0
JP-1734,Okukuma Prefectural Nature Park,32.3172,131.095,PM52nh,JP-KM,15,15,1605,0,0
JP-1735,Minamata Koiki Prefectural Park,32.2016,130.379,PM52ee,JP-KM,15,13,625,0,0
JP-1736,Techno Chuo Ryokuchi Prefectural Park,32.8222,130.844,PM52kt,JP-KM,13,12,530,0,0
JP-1737,Honmyojiyama Ryokuchi Prefectural Park,32.8221,130.676,PM52it,JP-KM,9,9,272,0,0
JP-1738,Mannichiyama Ryokuchi Prefectural Park,32.791,130.682,PM52is,JP-KM,14,13,540,0,0
JP-1739,Kumamoto Athletic Prefectural Park,32.8427,130.789,PM52ju,JP-KM,18,18,810,0,0
JP-1740,Yatsushiro Sports Prefectural Park,32.5331,130.556,PM52gm,JP-KM,12,11,340,0,0
JP-1741,Kunisaki Hanto Prefectural Nature Park,33.5643,131.569,PM53sn,JP-OT,28,25,1386,0,0
JP-1742,Bungo Suido Prefectural Nature Park,33.0702,131.965,PM53xb,JP-OT,28,27,2001,0,0
JP-1743,Jinkakuji Serikawa Prefectural Nature Park,33.0543,131.456,PM53rb,JP-OT,18,16,1005,0,0
JP-1744,Tsue Sankei Prefectural Nature Park,33.1299,130.88,PM53kd,JP-OT,64,58,1679,0,0
JP-1745,Sobo Katamuki Prefectural Nature Park,32.8971,131.605,PM52tv,JP-OT,11,11,504,0,0
JP-1746,Oita Sports Prefectural Park,33.2008,131.657,PM53te,JP-OT,23,21,664,0,0
JP-1747,Takaoyama Prefectural Park,33.2116,131.655,PM53tf,JP-OT,13,13,302,0,0
JP-1748,Osu Sogo Comprehensive Athletic Prefectural Park,33.2513,131.628,PM53tg,JP-OT,17,16,441,0,0
JP-1749,Sobo Katamuki Prefectural Nature Park,32.8323,131.472,PM52rt,JP-MZ,18,17,1156,0,0
JP-1750,Osuzu Prefectural Nature Park,32.2878,131.465,PM52rg,JP-MZ,20,16,538,0,0
JP-1751,Saitobaru Sugiyasukyo Prefectural Nature Park,32.1534,131.365,PM52qd,JP-MZ,22,21,932,0,0
JP-1752,Mochio Sekinoo Prefectural Nature Park,31.762,130.987,PM51ls,JP-MZ,34,33,777,0,0
JP-1753,Wanitsuka Prefectural Nature Park,31.7686,131.269,PM51ps,JP-MZ,19,19,1005,0,0
JP-1754,Yatake Kogen Prefectural Nature Park,32.0853,130.774,PM52jc,JP-MZ,9,8,323,0,0
JP-1755,Heiwadai Prefectural Park,31.9501,131.416,PM51qw,JP-MZ,25,23,671,0,0
JP-1756,Sogo Bunka Prefectural Park,31.934,131.419,PM51rw,JP-MZ,22,20,493,0,0
JP-1757,Miyazaki Prefectural Comprehensive Sports Prefectural Park,31.8274,131.445,PM51rt,JP-MZ,13,13,444,0,0
JP-1758,Saitobaru Burial Mounds Prefectural Park,32.1187,131.39,PM52qc,JP-MZ,19,19,805,0,0
JP-1759,Awakigahara Forest Prefectural Park,31.9445,131.467,PM51rw,JP-MZ,31,31,1040,0,0
JP-1760,Akune Prefectural Nature Park,32.1054,130.176,PM52cc,JP-KS,10,10,197,0,0
JP-1761,Fukiagehama Kinpozan Prefectural Nature Park,31.521,130.326,PM51dm,JP-KS,10,10,258,0,0
JP-1762,Imutaike Prefectural Nature Park,31.8174,130.474,PM51ft,JP-KS,21,20,624,0,0
JP-1763,Bounoma Prefectural Nature Park,31.4217,130.123,PM51bk,JP-KS,10,9,294,0,0
JP-1764,Sendaigawa Ryuiki Prefectural Nature Park,31.9467,130.463,PM51fw,JP-KS,22,21,1290,0,0
JP-1765,Takakumayama Prefectural Nature Park,31.486,130.819,PM51jl,JP-KS,30,30,926,0,0
JP-1766,Osumi Nanbu Prefectural Nature Park,31.0915,130.827,PM51jc,JP-KS,11,10,274,0,0
JP-1767,Tokara Retto Prefectural Nature Park,29.8592,129.858,PL49wu,JP-KS,2,1,141,0,0
JP-1768,Yoshino Prefectural Park,31.6318,130.593,PM51hp,JP-KS,8,8,181,0,0
JP-1769,Taniyama Ryokuchi Prefectural Park,31.5227,130.524,PM51gm,JP-KS,6,6,143,0,0
JP-1770,Kamoike Prefectural Nature Park,31.5657,130.559,PM51gn,JP-KS,12,11,211,0,0
JP-1771,Kamoike Ryokuchi Prefectural Park,31.5489,130.559,PM51gn,JP-KS,17,12,337,0,0
JP-1772,Fukiagehama Kaihin Prefectural Park,31.4365,130.283,PM51dk,JP-KS,7,7,161,0,0
JP-1773,Osumi Koiki Prefectural Park,31.2942,130.919,PM51lh,JP-KS,24,24,658,0,0
JP-1774,Ishibashi Kinen Prefectural Park,31.604,130.568,PM51go,JP-KS,16,16,355,0,0
JP-1775,Hokusatsu Koiki Prefectural Park,31.9028,130.438,PM51fv,JP-KS,8,8,333,0,0
JP-1776,Fureai Sports Land Prefectural Park,31.5493,130.491,PM51fn,JP-KS,15,15,276,0,0
JP-1777,Kumejima Prefectural Nature Park,26.3889,126.769,PL36jj,JP-ON,24,20,2777,0,0
JP-1778,Irabu Prefectural Nature Park,24.8344,125.185,PL24ou,JP-ON,14,13,345,0,0
JP-1779,Tonaki Prefectural Nature Park,26.3628,127.15,PL36ni,JP-ON,3,3,906,0,0
JP-1780,Tarama Prefectural Nature Park,24.6637,124.696,PL24ip,JP-ON,8,7,1162,0,0
JP-1781,Onoyama Prefectural Park,26.2037,127.675,PL36ue,JP-ON,26,23,455,0,0
JP-1782,Okinawa Comprehensive Athletic Prefectural Park,26.3095,127.823,PL36vh,JP-ON,24,23,465,0,0
JP-1783,Nago Chuo Prefectural Park,26.5878,127.992,PL36xo,JP-ON,15,13,374,0,0
JP-1784,Nakagusuku Prefectural Park,26.2881,127.793,PL36vg,JP-ON,36,36,662,0,0
JP-1785,Urasoe Dai Prefectural Park,26.25,127.729,PL36ug,JP-ON,40,36,672,0,0
JP-1786,Shurijo Castle Prefectural Park,26.2183,127.715,PL36uf,JP-ON,13,9,253,0,0
JP-1787,Kaigungo Prefectural Park,26.1857,127.675,PL36ue,JP-ON,13,13,384,0,0
JP-1788,Peace Memorial Prefectural Park,26.0962,127.724,PL36uc,JP-ON,18,18,439,0,0
JP-1789,Banna Prefectural Park,24.3747,124.16,PL24bi,JP-ON,10,8,170,0,0
JP-1790,Isehara Tounoyama Prefectural Park,35.3965,139.276,PM95pj,JP-KN,65,59,1285,0,0
JP-1791,Yamakita Tsuburano Prefectural Park,35.3697,139.052,PM95mi,JP-KN,56,49,1384,0,0
JP-1792,Odaiba Marine Prefectural Park,35.6299,139.775,PM95vp,JP-TK,150,140,3037,0,0
JP-1793,Symbol Promenade Prefectural Park,35.6235,139.775,PM95vo,JP-TK,109,90,1435,0,0
JP-1794,Aomi-Kita Port Prefectural Park,35.6191,139.774,PM95vo,JP-TK,56,55,894,0,0
JP-1795,Aomi-Minami Port Prefectural Park,35.6144,139.777,PM95vo,JP-TK,78,74,1223,0,1
JP-1796,Akatsuki Port Prefectural Park,35.6082,139.791,PM95vo,JP-TK,184,177,4264,0,1
JP-1797,Aomi Greenway Prefectural Park,35.6214,139.78,PM95vo,JP-TK,76,73,1219,0,0
JP-1798,Aomi-Chuou Port Prefectural Park,35.6208,139.78,PM95vo,JP-TK,64,61,864,0,0
JP-1799,Mizu-no-Hiroba Prefectural Park,35.6278,139.788,PM95vp,JP-TK,85,79,1298,0,0
JP-1800,Ariake Nishi Port Prefectural Park,35.6271,139.794,PM95vp,JP-TK,83,73,1207,0,1
JP-1801,Ariake Kita Greenway Prefectural Park,35.6378,139.78,PM95vp,JP-TK,49,47,981,0,0
JP-1802,Ariake Tennis Prefectural Park,35.6354,139.788,PM95vp,JP-TK,132,116,2129,0,0
JP-1803,Harumibashi Prefectural Park,35.6571,139.791,PM95vp,JP-TK,82,65,1351,0,0
JP-1804,Higashi Yashio Greenway Prefectural Park,35.6193,139.772,PM95vo,JP-TK,60,56,982,0,0
JP-1805,Kasai Marine Prefectural Park,35.6387,139.855,PM95wp,JP-TK,60,52,945,0,0
JP-1806,Tatsumi-no-Mori Seaside Prefectural Park,35.6495,139.813,PM95vp,JP-TK,244,228,3930,0,0
JP-1807,Shin-kiba Prefectural Park,35.6421,139.823,PM95vp,JP-TK,79,74,1381,0,0
JP-1808,Tatsumi Greenway Prefectural Park,35.6457,139.813,PM95vp,JP-TK,150,138,2352,0,0
JP-1809,Yumenoshima Greenway Prefectural Park,35.6477,139.831,PM95vp,JP-TK,104,89,1433,0,0
JP-1810,Shin-kiba Greenway Prefectural Park,35.6401,139.841,PM95wp,JP-TK,69,65,981,0,0
JP-1811,Wakasu Seaside Prefectural Park,35.6134,139.836,PM95wo,JP-TK,139,136,3367,0,0
JP-1812,Tokyo Port Wild Bird Prefectural Park,35.5839,139.761,PM95vo,JP-TK,52,50,847,0,0
JP-1813,Oi Port Central Seaside Prefectural Park,35.5934,139.75,PM95vo,JP-TK,90,85,1788,0,0
JP-1814,Jonanjima Seaside Prefectural Park,35.5801,139.786,PM95vn,JP-TK,122,115,2982,0,0
JP-1815,Shinagawa Kita Port Prefectural Park,35.6304,139.755,PM95vp,JP-TK,48,46,800,0,0
JP-1816,Container Terminal Prefectural Park,35.6053,139.76,PM95vo,JP-TK,41,40,845,0,1
JP-1817,Jonanjima Port Prefectural Park,35.5791,139.773,PM95vn,JP-TK,69,67,1497,0,0
JP-1818,Keihinjima Port Prefectural Park,35.5718,139.76,PM95vn,JP-TK,47,42,838,0,0
JP-1819,Minato-ga-oka Port Prefectural Park,35.5963,139.763,PM95vo,JP-TK,70,67,1343,0,0
JP-1820,Tokai Port Prefectural Park,35.5777,139.756,PM95vn,JP-TK,72,66,1297,0,0
JP-1821,Keihinjima Tsubasa Prefectural Park,35.5701,139.77,PM95vn,JP-TK,108,101,2050,0,0
JP-1822,Shibaura Minami Port Prefectural Park,35.637,139.76,PM95vp,JP-TK,67,63,1288,0,0
JP-1823,Keihin Canalside Greenway Prefectural Park,35.5972,139.749,PM95uo,JP-TK,80,73,1190,0,0
JP-1824,Oi Port Greenway Prefectural Park,35.5997,139.755,PM95vo,JP-TK,41,38,617,0,0
JP-1825,Tokai Greenway Prefectural Park,35.5772,139.759,PM95vn,JP-TK,45,41,689,0,0
JP-1826,Jonanjima Greenway Prefectural Park,35.5794,139.781,PM95vn,JP-TK,51,48,796,0,0
JP-1827,Keihinjima Greenway Prefectural Park,35.5652,139.765,PM95vn,JP-TK,43,41,750,0,0
JP-1828,Lake Okutama Hotori Prefectural Park,35.7663,139.022,PM95ms,JP-TK,42,42,1367,0,0
JP-1829,Komine Prefectural Park,35.7197,139.23,PM95or,JP-TK,78,75,2234,0,0
JP-1830,Oshima Prefectural Park,34.7613,139.434,PM94rs,JP-TK,16,16,1112,0,0
JP-1831,Takowan Prefectural Park,34.2039,139.152,PM94ne,JP-TK,8,8,656,0,0
JP-1832,Habushiura Prefectural Park,34.3782,139.273,PM94pj,JP-TK,6,6,753,0,0
JP-1833,Hachijo Botanical Garden Prefectural Park,33.1106,139.782,PM93vc,JP-TK,11,9,697,0,0
JP-1834,Chichibu Muse Prefectural Park,35.9962,139.055,PM95mx,JP-ST,49,47,1790,0,0
JP-1835,Niiza Greenway Prefectural Park,35.7779,139.592,PM95ts,JP-ST,74,68,1622,0,0
JP-1836,Shinrinkoen Park Walking Road Prefectural Park,36.0471,139.375,PM96qb,JP-ST,39,37,1518,0,0
JP-1837,Sakitama Greenway Prefectural Park,36.0892,139.48,PM96rc,JP-ST,158,151,3399,0,0
JP-1838,Hananosato Greenway Prefectural Park,36.094,139.491,PM96rc,JP-ST,108,103,2310,0,0
JP-1839,Akigase Greenway Prefectural Park,35.8525,139.634,PM95tu,JP-ST,73,72,2318,0,1
JP-1842,Saitama Prefectural Citizens Health and Welfare Village Prefectural Park,35.8842,139.758,PM95vv,JP-ST,118,113,2559,0,0
JP-1843,Saitamaken Agricultual and Forestry Prefectural Park,36.1123,139.288,PM96pc,JP-ST,46,46,1831,0,0
JP-1845,Ikaho Forest Prefectural Park,36.4822,138.912,PM96kl,JP-GM,53,47,1673,0,0
JP-1846,Akagi Forest Prefectural Park,36.5051,139.155,PM96nm,JP-GM,51,48,1470,0,0
JP-1847,Akagi Community Forest Prefectural Park,36.5228,139.145,PM96nm,JP-GM,36,33,690,0,0
JP-1848,Sakuranosato Forest Prefectural Park,36.2827,138.744,PM96ig,JP-GM,22,22,532,0,0
JP-1849,Sakurayama Forest Prefectural Park,36.1614,139.021,PM96md,JP-GM,27,27,792,0,0
JP-1850,Mikabo Forest Prefectural Park,36.151,138.863,PM96kd,JP-GM,29,26,770,0,0
JP-1851,Gunma Forest Park 21st Century Prefectural Park,36.739,139.084,PM96nr,JP-GM,17,17,500,0,0
JP-1852,Gunma Insect World Forest Prefectural Park,36.436,139.251,PM96pk,JP-GM,32,26,684,0,1
JP-1854,Oura no Mori Forest Prefectural Park,36.265,139.487,PM96rg,JP-GM,60,55,1440,0,0
JP-1855,Oneyama Bird Forest Prefectural Park,36.3524,138.738,PM96ii,JP-GM,18,17,354,0,0
JP-1857,Midorinomura Agricultual and Forestry Prefectural Park,36.0366,138.982,PM96la,JP-ST,39,38,1842,0,0
JP-1858,Saino-Kuni Fureai Forest Prefectural Park,35.9947,138.801,PM95jx,JP-ST,28,26,641,0,0
JP-1859,Tochigi Prefectual Forest Prefectural Park,36.8739,139.841,PM96wu,JP-TC,61,57,4149,0,1
JP-1860,Italian Embassy Villa Memorial Prefectural Park,36.725,139.486,PM96rr,JP-TC,10,10,175,0,0
JP-1861,British Embassy Villa Memorial Prefectural Park,36.7266,139.486,PM96rr,JP-TC,11,11,174,0,0
JP-1862,Otosan Prefectural Nature Park,33.7272,135.714,PM73ur,JP-WK,5,5,209,0,0
JP-1863,Choukai-no-mori Prefectural Park,38.8593,139.98,PM98xu,JP-YT,19,19,773,0,0
JP-1864,Genryu-no-mori Prefectural Park,37.9256,139.899,PM97ww,JP-YT,11,11,461,0,0
JP-1865,Kenmin-no-mori Prefectural Park,38.242,140.203,QM08cf,JP-YT,19,19,976,0,0
JP-1866,Yugaku-no-mori Prefectural Park,38.9127,140.376,QM08ev,JP-YT,16,16,608,0,0
JP-1867,Yamagata Nature Museum Prefectural Park,38.5044,139.998,PM98xm,JP-YT,23,23,1155,0,0
JP-1868,Rinkuu-kouen Prefectural Park,38.1361,140.9,QM08kd,JP-MG,71,71,2026,0,0
JP-1869,Kenmin-no-mori Prefectural Park,38.3215,140.937,QM08lh,JP-MG,27,26,713,0,0
JP-1870,Forest Park Adatara Prefectural Park,37.5815,140.329,QM07dn,JP-FS,20,20,1062,0,0
JP-1871,Showa-no-mori Prefectural Park,37.5752,140.07,QM07an,JP-FS,26,25,874,0,0
JP-1872,Rachihama Bosai Ryokuchi Prefectural Park,37.8871,140.932,QM07lv,JP-FS,21,21,789,0,0
JP-1873,Haragamaobama Bosai Ryokuchi Prefectural Park,37.8313,140.956,QM07lt,JP-FS,25,24,790,0,0
JP-1874,Hisanohama Bosai Ryokuchi Prefectural Park,37.1422,141,QM07md,JP-FS,8,8,220,0,0
JP-1875,Yotsukura Bosai Ryokuchi Prefectural Park,37.0991,140.987,QM07lc,JP-FS,11,11,282,0,0
JP-1876,Numanouchi Bosai Ryokuchi Prefectural Park,37.0135,140.974,QM07la,JP-FS,14,14,351,0,0
JP-1877,Usuiso Bosai Ryokuchi Prefectural Park,36.9999,140.979,QM06lx,JP-FS,14,14,273,0,0
JP-1878,Toyoma Bosai Ryokuchi Prefectural Park,36.9863,140.969,QM06lx,JP-FS,15,15,304,0,0
JP-1879,Nagasaki Bosai Ryokuchi Prefectural Park,36.9539,140.938,QM06lw,JP-FS,14,14,293,0,0
JP-1880,Iwama Bosai Ryokuchi Prefectural Park,36.9126,140.818,QM06jv,JP-FS,19,19,575,0,0
