SummitCode,SummitName,Latitude,Longitude,AltM
JA/AT-020,Komagatake,40.41290,140.25110,1158
JA/AT-021,Gonomiyadake,40.14580,140.84590,1115
JA/AT-022,Tachimata,40.44150,140.25340,1098
JA/AT-023,Futatsumori,40.43510,140.11790,1087
JA/AT-024,Ashikurayama,39.02650,140.70360,1083
JA/AT-025,JA/AT-025,39.82550,140.35519,1067
JA/AT-026,Ooishidake,39.72940,140.50710,1059
JA/AT-027,Ryuugamori,40.10390,140.59959,1050
JA/AT-028,Kodake,40.43280,140.19780,1043
JA/AT-029,Maruyama,40.41610,140.10750,1039
JA/AT-030,Shirojiyama,40.44720,140.78819,1034
JA/AT-031,Bandorimori,39.78720,140.46750,1033
JA/AT-032,JA/AT-032,39.69090,140.81570,1026
JA/AT-033,Bunamori,39.93080,140.63409,1016
JA/AT-034,Korogeyama,39.02050,140.74020,1015
JA/AT-035,Tokamisan,39.08160,140.19189,1008
JA/AT-036,Kobinaiyama,39.02090,140.52080,1004
JA/AT-037,Masedake,40.46230,140.08350,988
JA/AT-038,Yakeyama,40.37410,140.15620,963
JA/AT-039,Mikasayama,40.42330,140.28230,961
JA/AT-040,JA/AT-040,40.47650,140.37790,961
JA/AT-041,Eboshiyama,39.00380,140.40550,954
JA/AT-042,Osabanaidake,40.37160,140.19070,946
JA/AT-043,Ubaidoyama,39.08390,140.34190,927
JA/AT-044,Daisenyama,39.04560,140.34270,920
JA/AT-045,Aizawayama,39.68320,140.76871,920
JA/AT-046,Hachimori,40.10920,140.81799,905
JA/AT-047,Magozaemonyama,40.43930,140.47929,891
JA/AT-048,Ogamiyama,39.86570,140.66141,859
JA/AT-049,Oomori,39.88310,140.52071,857
JA/AT-050,Arasawa,39.76860,140.40739,857
JA/AT-051,Monomiyama,40.38110,140.29269,853
JA/AT-052,Ogarasawa,40.13040,140.57780,837
JA/AT-053,Neretsudake,39.93640,140.36160,835
JA/AT-054,Oohikageyama,40.42710,140.56210,820
JA/AT-055,Nanamaizawa,40.40240,140.33350,818
JA/AT-056,Waseyama,40.10130,140.71640,811
JA/AT-057,Takamori,39.80930,140.63470,796
JA/AT-058,Oohinatayama,39.20900,140.66570,780
JA/AT-059,Morosukeyama,40.28030,140.89259,780
JA/AT-060,Higashichokaizan,39.09870,140.51720,777
JA/AT-061,Kuromoriyama,39.37840,140.63200,766
JA/AT-062,Tsubakigawa,39.14040,140.68700,766
JA/AT-063,JA/AT-063,40.32460,140.89340,764
JA/AT-064,Kuromori,39.86070,140.64481,762
JA/AT-065,Okumiyayama,39.03710,140.59160,762
JA/AT-066,Nishinomori,40.36100,140.97380,756
JA/AT-067,Innaidake,39.69350,140.63560,751
JA/AT-068,Okuyama,39.66400,140.48860,751
JA/AT-069,Manaitayama,39.86370,140.20940,723
JA/AT-070,Ookurayama,40.34200,140.15910,722
JA/AT-071,Ookawamae,39.68040,140.45860,721
JA/AT-072,Honzan,39.90680,139.75380,715
JA/AT-073,Yashioyama,39.23660,140.22771,713
JA/AT-074,Shibamori,39.96870,140.44780,710
JA/AT-075,Houzukiyama,39.94550,140.45830,706
JA/AT-076,Oomoriyama,39.10190,140.60451,704
JA/AT-077,Aikubo,40.15210,140.69640,702
JA/AT-078,Marumoriyama,39.06650,140.55881,699
JA/AT-079,Minamisawayama,39.02580,140.36240,697
JA/AT-080,Tsukinokiyama,40.36360,140.51109,692
JA/AT-081,JA/AT-081,40.41760,140.48410,682
JA/AT-082,Daisakusawa,39.83460,140.21359,680
JA/AT-083,Oono,40.36660,140.35640,669
JA/AT-084,Tonosesan,40.33370,140.43761,664
JA/AT-085,Oomori,39.98690,140.44910,651
JA/AT-086,Dosyazawa,40.39670,140.49229,638
JA/AT-087,Ookageyama,39.64440,140.69659,637
JA/AT-088,JA/AT-088,39.09970,140.43291,630
JA/AT-089,Kagikakemori,39.87750,140.45930,624
JA/AT-090,Kurosawagashira,40.15130,140.74429,623
JA/AT-091,Sugitouge,39.12740,140.17410,620
JA/AT-092,Nagasawa,39.36410,140.19060,614
JA/AT-093,JA/AT-093,39.78260,140.57060,610
JA/AT-094,JA/AT-094,39.15800,140.28050,604
JA/AT-095,Karasumori,39.92710,140.29269,601
JA/AT-096,Takamori,40.25650,140.64639,593
JA/AT-097,Menkurasan,40.35890,140.64481,590
JA/AT-098,Higashimatayama,40.37980,140.67030,586
JA/AT-099,Nise,39.72610,140.61850,585
JA/AT-100,JA/AT-100,39.94030,140.43280,570
JA/AT-101,JA/AT-101,40.17420,140.66780,566
JA/AT-102,Kokageyama,39.61710,140.66470,557
JA/AT-103,JA/AT-103,40.27160,140.66409,556
JA/AT-104,Kuromoriyama,40.31630,140.81841,546
JA/AT-105,JA/AT-105,40.38520,140.50060,542
JA/AT-106,Takazawa,39.71190,140.57249,537
JA/AT-107,Hououzan,40.27650,140.62131,521
JA/AT-108,Komatsuzakiyama,40.32290,140.14420,520
JA/AT-109,Nagasetateyama,39.17560,140.60550,497
JA/AT-110,Sanbonyariyama,39.13840,140.52541,496
JA/AT-111,Kuromoriyama,40.11710,140.47400,490
JA/AT-112,Takamori,40.32160,140.70760,482
JA/AT-113,Eboshiyama,39.22670,140.58910,479
JA/AT-114,Oohirayama,39.20800,140.35240,474
JA/AT-115,Metonoseyama,40.35940,140.44730,467
JA/AT-116,Suwayama,39.59840,140.47510,456
JA/AT-117,Moyayama,40.32820,140.24409,450
JA/AT-118,Matouyama,40.22080,140.47079,444
JA/AT-119,Nibuna,40.14260,140.24960,443
JA/AT-120,Asadayama,39.32640,140.31441,442
JA/AT-121,Horowasan,39.37180,140.30870,438
JA/AT-122,Kayakariyama,40.33120,140.51620,428
JA/AT-123,Oohirayakushi,39.53650,140.18761,424
JA/AT-124,Mitsumoriyama,39.29690,140.35530,412
JA/AT-125,Warisawamori,40.15040,140.48590,411
JA/AT-126,Boujyuzan,40.05270,140.22540,410
JA/AT-127,Ipponsugi,39.27070,140.59050,402
JA/AT-128,Oomoriyama,40.08780,140.37570,401
JA/AT-129,Akakurayama,39.99200,140.22060,398
JA/AT-130,Yakushiyama,39.92520,140.19730,395
JA/AT-131,Santetsusan,40.22030,140.69209,394
JA/AT-132,Nakayama,40.16690,140.62990,392
JA/AT-133,Oohirayama,39.46730,140.43390,387
JA/AT-134,Magotarou,39.50330,140.14980,359
JA/AT-135,Kanpuuzan,39.93370,139.87531,355
JA/AT-136,Numazawayama,39.60130,140.38271,346
JA/AT-137,Shogunzan,39.38600,140.38300,339
JA/AT-138,Oosawa,40.24340,140.27730,334
JA/AT-139,Moriyama,39.96000,140.10960,326
JA/AT-140,Kannondake,39.63780,140.52570,322
JA/AT-141,Futtsukidake,38.96580,140.65440,1221
JA/AT-142,Kanaikemori,39.86690,140.40950,967
